id;value
Cocais;220120
Cocais;220150
Cocais;220196
Cocais;220217
Cocais;220240
Cocais;220342
Cocais;220370
Cocais;220540
Cocais;220545
Cocais;220557
Cocais;220580
Cocais;220585
Cocais;220610
Cocais;220635
Cocais;220667
Cocais;220680
Cocais;220790
Cocais;220830
Cocais;220840
Cocais;220850
Cocais;220987
Cocais;220997
Cocais;221005
Entre Rios;220010
Entre Rios;220020
Entre Rios;220030
Entre Rios;220040
Entre Rios;220050
Entre Rios;220060
Entre Rios;220140
Entre Rios;220160
Entre Rios;220273
Entre Rios;220325
Entre Rios;220330
Entre Rios;220460
Entre Rios;220525
Entre Rios;220550
Entre Rios;220554
Entre Rios;220555
Entre Rios;220558
Entre Rios;220620
Entre Rios;220630
Entre Rios;220640
Entre Rios;220672
Entre Rios;220710
Entre Rios;220750
Entre Rios;220775
Entre Rios;220779
Entre Rios;220880
Entre Rios;220945
Entre Rios;220980
Entre Rios;221050
Entre Rios;221100
Entre Rios;221110
Planície Litorânea;220191
Planície Litorânea;220200
Planície Litorânea;220208
Planície Litorânea;220253
Planície Litorânea;220265
Planície Litorânea;220270
Planície Litorânea;220272
Planície Litorânea;220465
Planície Litorânea;220570
Planície Litorânea;220669
Planície Litorânea;220770
Serra da Capivara;220070
Serra da Capivara;220192
Serra da Capivara;220211
Serra da Capivara;220245
Serra da Capivara;220250
Serra da Capivara;220285
Serra da Capivara;220335
Serra da Capivara;220345
Serra da Capivara;220375
Serra da Capivara;220455
Serra da Capivara;220535
Serra da Capivara;220553
Serra da Capivara;220556
Serra da Capivara;220955
Serra da Capivara;221000
Serra da Capivara;221035
Serra da Capivara;221060
Serra da Capivara;221135
Tabuleiros Alto Parnaíba;220080
Tabuleiros Alto Parnaíba;220115
Tabuleiros Alto Parnaíba;220890
Tabuleiros Alto Parnaíba;221063
Tabuleiros Alto Parnaíba;221120
Vale do Canindé;220155
Vale do Canindé;220207
Vale do Canindé;220210
Vale do Canindé;220277
Vale do Canindé;220280
Vale do Canindé;220385
Vale do Canindé;220490
Vale do Canindé;220700
Vale do Canindé;220937
Vale do Canindé;220950
Vale do Canindé;220965
Vale do Canindé;220995
Vale do Canindé;221080
Vale do Canindé;221097
Vale do Rio Guaribas;220005
Vale do Rio Guaribas;220025
Vale do Rio Guaribas;220027
Vale do Rio Guaribas;220095
Vale do Rio Guaribas;220157
Vale do Rio Guaribas;220173
Vale do Rio Guaribas;220180
Vale do Rio Guaribas;220209
Vale do Rio Guaribas;220213
Vale do Rio Guaribas;220255
Vale do Rio Guaribas;220327
Vale do Rio Guaribas;220340
Vale do Rio Guaribas;220415
Vale do Rio Guaribas;220420
Vale do Rio Guaribas;220430
Vale do Rio Guaribas;220435
Vale do Rio Guaribas;220480
Vale do Rio Guaribas;220500
Vale do Rio Guaribas;220515
Vale do Rio Guaribas;220520
Vale do Rio Guaribas;220595
Vale do Rio Guaribas;220605
Vale do Rio Guaribas;220650
Vale do Rio Guaribas;220720
Vale do Rio Guaribas;220755
Vale do Rio Guaribas;220777
Vale do Rio Guaribas;220780
